,SPY,predY_returns
2010-10-12,112.92,-0.0147200683499
2010-10-13,113.8,-0.0223872848811
2010-10-14,113.36,-0.0291086580891
2010-10-15,113.59,-0.034617486993
2010-10-18,114.15,-0.0386850205664
2010-10-19,112.65,-0.041127906944
2010-10-20,113.75,-0.041816413239
2010-10-21,114.0,-0.0406831848476
2010-10-22,114.22,-0.0377319112157
2010-10-25,114.55,-0.0330447909145
2010-10-26,114.57,-0.0267873672979
2010-10-27,114.25,-0.0192090447625
2010-10-28,114.26,-0.0106377583248
2010-10-29,114.35,-0.00146767242553
2010-11-01,114.39,0.00786027126121
2010-11-02,115.3,0.0168840066001
2010-11-03,115.76,0.0251499837082
2010-11-04,117.99,0.0322436500959
2010-11-05,118.43,0.0378171871964
2010-11-08,118.21,0.0416112700275
2010-11-09,117.36,0.0434685713738
2010-11-10,117.84,0.0433381530421
2010-11-11,117.39,0.0412712858229
2010-11-12,116.0,0.037410431015
2010-11-15,115.84,0.0319736738834
2010-11-16,114.03,0.0252370405828
2010-11-17,114.09,0.0175167761255
2010-11-18,115.77,0.0091530426631
2010-11-19,116.09,0.000495857224578
2010-11-22,115.99,-0.00810654320474
2010-11-23,114.31,-0.0163171319993
2010-11-24,116.0,-0.0238179035115
2010-11-26,114.65,-0.0303167238835
2010-11-29,115.0,-0.0355539293435
2010-11-30,114.35,-0.0393092389888
2010-12-01,116.78,-0.0414093555688
2010-12-02,118.28,-0.0417363262524
2010-12-03,118.6,-0.040236349271
2010-12-06,118.47,-0.0369282952981
2010-12-07,118.54,-0.0319107801606
2010-12-08,118.97,-0.0253662625916
2010-12-09,119.44,-0.0175605105849
2010-12-10,120.13,-0.00883593862121
2010-12-13,120.21,0.000402139696478
2010-12-14,120.32,0.00970633933847
2010-12-15,119.77,0.0186138443634
2010-12-16,120.46,0.0266765094664
2010-12-17,120.59,0.033491075917
2010-12-20,120.88,0.0387259406943
2010-12-21,121.65,0.0421414070938
2010-12-22,122.03,0.0436013942981
2010-12-23,121.85,0.0430760099873
2010-12-27,121.9,0.0406358489417
2010-12-28,122.07,0.0364398676832
2010-12-29,122.16,0.0307191886242
2010-12-30,121.97,0.023759287695
2010-12-31,122.0,0.0158824399989
2011-01-03,123.26,0.00743182666041
2011-01-04,123.19,-0.00124203789797
2011-01-05,123.83,-0.00979246481676
2011-01-06,123.59,-0.0178856530202
2011-01-07,123.35,-0.0252082460435
2011-01-10,123.19,-0.031474079719
2011-01-11,123.63,-0.036430807947
2011-01-12,124.74,-0.0398669184507
2011-01-13,124.54,-0.0416195074127
2011-01-14,125.44,-0.0415827579895
2011-01-18,125.65,-0.0397167636108
2011-01-19,124.42,-0.0360558694043
2011-01-20,124.26,-0.0307152732539
2011-01-21,124.54,-0.0238943395758
2011-01-24,125.25,-0.0158749329012
2011-01-25,125.31,-0.00701339620406
2011-01-26,125.8,0.00227465516162
2011-01-27,126.11,0.0115364541885
2011-01-28,123.91,0.0203096653685
2011-01-31,124.84,0.0281527655664
2011-02-01,126.84,0.0346748685965
2011-02-02,126.6,0.0395614100437
2011-02-03,126.88,0.0425927987772
2011-02-04,127.24,0.0436542889436
2011-02-07,128.03,0.0427368084411
2011-02-08,128.61,0.0399297833864
2011-02-09,128.32,0.0354079959907
2011-02-10,128.37,0.0294149010667
2011-02-11,129.14,0.0222447062742
2011-02-14,129.45,0.0142250780471
2011-02-15,129.04,0.0057016712886
2011-02-16,129.85,-0.00297494082442
2011-02-17,130.24,-0.011459988594
2011-02-18,130.51,-0.0194231906725
2011-02-22,127.9,-0.0265561096852
2011-02-23,127.11,-0.0325788175547
2011-02-24,127.02,-0.0372465615781
2011-02-25,128.38,-0.0403569146905
2011-02-28,129.18,-0.041757706565
2011-03-01,127.02,-0.0413556101061
2011-03-02,127.29,-0.0391249538732
2011-03-03,129.49,-0.0351215217777
2011-03-04,128.52,-0.0294676653452
2011-03-07,127.51,-0.0223831563717
2011-03-08,128.62,-0.0141655537798
2011-03-09,128.44,-0.00518444105564
2011-03-10,126.06,0.00413520450069
2011-03-11,126.93,0.0133363820863
2011-03-14,126.17,0.0219584367478
2011-03-15,124.72,0.0295676359912
2011-03-16,122.41,0.0357864281427
2011-03-17,124.03,0.0403179272529
2011-03-18,124.48,0.0429629173168
2011-03-21,126.41,0.04362790814
2011-03-22,125.98,0.0423242254282
2011-03-23,126.34,0.0391594801554
2011-03-24,127.54,0.034323527606
2011-03-25,127.93,0.0280713587741
2011-03-28,127.62,0.0207051702605
2011-03-29,128.48,0.0125573752411
2011-03-30,129.37,0.00397556884115
2011-03-31,129.19,-0.00469004732858
2011-04-01,129.74,-0.0130969469558
2011-04-04,129.84,-0.0209186441222
2011-04-05,129.82,-0.0278518554325
2011-04-06,130.23,-0.0336231110542
2011-04-07,129.9,-0.0379954909098
2011-04-08,129.45,-0.0407759164017
2011-04-11,129.06,-0.0418232311193
2011-04-12,128.1,-0.0410568759463
2011-04-13,128.09,-0.0384656630161
2011-04-14,128.19,-0.0341155743964
2011-04-15,128.66,-0.028155258784
2011-04-18,127.21,-0.0208175512382
2011-04-19,127.94,-0.0124154151676
2011-04-20,129.69,-0.00333108669487
2011-04-21,130.35,0.00600198037261
2011-04-25,130.21,0.015123659918
2011-04-26,131.33,0.0235762382806
2011-04-27,132.19,0.0309349887242
2011-04-28,132.62,0.0368367600435
2011-04-29,132.93,0.0410031365275
2011-05-02,132.73,0.0432557267775
2011-05-03,132.25,0.0435223629777
2011-05-04,131.37,0.0418345497295
2011-05-05,130.18,0.0383176264503
2011-05-06,130.76,0.033175912852
2011-05-09,131.27,0.0266752775826
2011-05-10,132.39,0.0191252815505
2011-05-11,130.99,0.0108625009658
2011-05-12,131.62,0.00223598501682
2011-05-13,130.6,-0.00640485163007
2011-05-16,129.78,-0.0147200683499
2011-05-17,129.76,-0.0223872848811
2011-05-18,130.92,-0.0291086580891
2011-05-19,131.23,-0.034617486993
2011-05-20,130.18,-0.0386850205664
2011-05-23,128.67,-0.041127906944
2011-05-24,128.57,-0.041816413239
2011-05-25,129.0,-0.0406831848476
2011-05-26,129.59,-0.0377319112157
2011-05-27,130.09,-0.0330447909145
2011-05-31,131.44,-0.0267873672979
2011-06-01,128.49,-0.0192090447625
2011-06-02,128.35,-0.0106377583248
2011-06-03,127.08,-0.00146767242553
2011-06-06,125.73,0.00786027126121
2011-06-07,125.65,0.0168840066001
2011-06-08,125.13,0.0251499837082
2011-06-09,126.08,0.0322436500959
2011-06-10,124.33,0.0378171871964
2011-06-13,124.43,0.0416112700275
2011-06-14,126.0,0.0434685713738
2011-06-15,123.76,0.0433381530421
2011-06-16,124.04,0.0412712858229
2011-06-17,124.41,0.037410431015
2011-06-20,125.04,0.0319736738834
2011-06-21,126.76,0.0252370405828
2011-06-22,125.99,0.0175167761255
2011-06-23,125.63,0.0091530426631
2011-06-24,124.17,0.000495857224578
2011-06-27,125.28,-0.00810654320474
2011-06-28,126.91,-0.0163171319993
2011-06-29,128.0,-0.0238179035115
2011-06-30,129.22,-0.0303167238835
2011-07-01,131.13,-0.0355539293435
2011-07-05,131.03,-0.0393092389888
2011-07-06,131.18,-0.0414093555688
2011-07-07,132.54,-0.0417363262524
2011-07-08,131.6,-0.040236349271
2011-07-11,129.22,-0.0369282952981
2011-07-12,128.67,-0.0319107801606
2011-07-13,129.1,-0.0253662625916
2011-07-14,128.21,-0.0175605105849
2011-07-15,128.95,-0.00883593862121
2011-07-18,127.89,0.000402139696478
2011-07-19,129.97,0.00970633933847
2011-07-20,129.89,0.0186138443634
2011-07-21,131.69,0.0266765094664
2011-07-22,131.78,0.033491075917
2011-07-25,131.05,0.0387259406943
2011-07-26,130.56,0.0421414070938
2011-07-27,127.88,0.0436013942981
2011-07-28,127.51,0.0430760099873
2011-07-29,126.64,0.0406358489417
2011-08-01,126.1,0.0364398676832
2011-08-02,122.88,0.0307191886242
2011-08-03,123.55,0.023759287695
2011-08-04,117.76,0.0158824399989
2011-08-05,117.58,0.00743182666041
2011-08-08,109.92,-0.00124203789797
2011-08-09,115.04,-0.00979246481676
2011-08-10,109.95,-0.0178856530202
2011-08-11,114.89,-0.0252082460435
2011-08-12,115.66,-0.031474079719
2011-08-15,118.11,-0.036430807947
2011-08-16,117.1,-0.0398669184507
2011-08-17,117.18,-0.0416195074127
2011-08-18,112.13,-0.0415827579895
2011-08-19,110.3,-0.0397167636108
2011-08-22,110.38,-0.0360558694043
2011-08-23,114.02,-0.0307152732539
2011-08-24,115.62,-0.0238943395758
2011-08-25,113.86,-0.0158749329012
2011-08-26,115.52,-0.00701339620406
2011-08-29,118.84,0.00227465516162
2011-08-30,119.15,0.0115364541885
2011-08-31,119.68,0.0203096653685
2011-09-01,118.42,0.0281527655664
2011-09-02,115.4,0.0346748685965
2011-09-06,114.56,0.0395614100437
2011-09-07,117.79,0.0425927987772
2011-09-08,116.56,0.0436542889436
2011-09-09,113.51,0.0427368084411
2011-09-12,114.24,0.0399297833864
2011-09-13,115.29,0.0354079959907
2011-09-14,116.89,0.0294149010667
2011-09-15,118.9,0.0222447062742
2011-09-16,119.61,0.0142250780471
2011-09-19,118.42,0.0057016712886
2011-09-20,118.28,-0.00297494082442
2011-09-21,114.79,-0.011459988594
2011-09-22,111.08,-0.0194231906725
2011-09-23,111.75,-0.0265561096852
2011-09-26,114.41,-0.0325788175547
2011-09-27,115.69,-0.0372465615781
2011-09-28,113.33,-0.0403569146905
2011-09-29,114.22,-0.041757706565
2011-09-30,111.37,-0.0413556101061
2011-10-03,108.2,-0.0391249538732
2011-10-04,110.57,-0.0351215217777
2011-10-05,112.62,-0.0294676653452
2011-10-06,114.66,-0.0223831563717
2011-10-07,113.89,-0.0141655537798
2011-10-10,117.7,-0.00518444105564
2011-10-11,117.82,0.00413520450069
2011-10-12,118.85,0.0133363820863
2011-10-13,118.61,0.0219584367478
2011-10-14,120.64,0.0295676359912
2011-10-17,118.34,0.0357864281427
2011-10-18,120.65,0.0403179272529
2011-10-19,119.22,0.0429629173168
2011-10-20,119.75,0.04362790814
2011-10-21,122.02,0.0423242254282
2011-10-24,123.52,0.0391594801554
2011-10-25,121.11,0.034323527606
2011-10-26,122.34,0.0280713587741
2011-10-27,126.61,0.0207051702605
2011-10-28,126.58,0.0125573752411
2011-10-31,123.52,0.00397556884115
2011-11-01,120.08,-0.00469004732858
2011-11-02,122.04,-0.0130969469558
2011-11-03,124.26,-0.0209186441222
2011-11-04,123.51,-0.0278518554325
2011-11-07,124.27,-0.0336231110542
2011-11-08,125.87,-0.0379954909098
2011-11-09,121.22,-0.0407759164017
2011-11-10,122.36,-0.0418232311193
2011-11-11,124.67,-0.0410568759463
2011-11-14,123.49,-0.0384656630161
2011-11-15,124.1,-0.0341155743964
2011-11-16,122.13,-0.028155258784
2011-11-17,120.19,-0.0208175512382
2011-11-18,120.06,-0.0124154151676
2011-11-21,117.78,-0.00333108669487
2011-11-22,117.31,0.00600198037261
2011-11-23,114.73,0.015123659918
2011-11-25,114.51,0.0235762382806
2011-11-28,117.83,0.0309349887242
2011-11-29,118.16,0.0368367600435
2011-11-30,123.02,0.0410031365275
2011-12-01,123.0,0.0432557267775
2011-12-02,122.89,0.0435223629777
2011-12-05,124.23,0.0418345497295
2011-12-06,124.27,0.0383176264503
2011-12-07,124.74,0.033175912852
2011-12-08,122.0,0.0266752775826
2011-12-09,124.07,0.0191252815505
2011-12-12,122.26,0.0108625009658
2011-12-13,121.11,0.00223598501682
2011-12-14,119.82,-0.00640485163007
2011-12-15,120.26,-0.0147200683499
2011-12-16,120.44,-0.0223872848811
2011-12-19,119.15,-0.0291086580891
2011-12-20,122.75,-0.034617486993
2011-12-21,122.99,-0.0386850205664
2011-12-22,124.08,-0.041127906944
2011-12-23,125.19,
2011-12-27,125.29,
2011-12-28,123.64,
2011-12-29,124.92,
2011-12-30,124.31,
